,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
141,,,0.25,28.0,0.011553014391827543,0.11210061099543153,0.8763463746127409,721,,,721,"Sheet and structural metal workers, moulders and welders, and related workers",,
142,,,0.06896551724137931,46.0,0.005523569014617607,0.13483289591768474,0.8596435350676976,722,,,722,"Blacksmiths, toolmakers and related trades workers",,
143,,,0.29743589743589743,33.0,0.025933986449098934,0.03406718892490798,0.9399988246259932,723,,,723,Machinery mechanics and repairers,,
144,,,0.06896551724137931,55.0,0.02163959553056212,0.07224437459060956,0.9061160298788283,731,,,731,Handicraft workers,,
145,,,0.0,21.0,0.00078064012490242,0.006731859410430839,0.9924875004646667,732,,,732,Printing trades workers,,
146,,,0.0,23.0,0.07477227561268487,0.011705323681456836,0.9135224007058582,741,,,741,Electrical equipment installers and repairers,,
147,,,0.0,16.0,0.02050331454844359,0.0017857142857142857,0.9777109711658422,742,,,742,Electronics and telecommunications installers and repairers,,
148,,,0.047619047619047616,28.0,0.04020945942657587,0.017710855611282165,0.942079684962142,751,,,751,Food processing and related trades workers,,
149,,,0.0,15.0,0.04085797837694847,0.05456171625888317,0.9045803053641683,752,,,752,"Wood treaters, cabinet-makers and related trades workers",,
150,,,0.0625,39.0,0.03742098483890119,0.003847960824705011,0.9587310543363938,753,,,753,Garment and related trades workers,,
151,,,0.0625,34.0,0.0405370205647449,0.018685897234434416,0.9407770822008207,754,,,754,Other craft and related workers,,
152,,,0.05263157894736842,26.0,0.02382359094537109,0.16963041871294285,0.8065459903416861,811,,,811,Mining and mineral processing plant operators,,
153,,,0.18181818181818182,19.0,0.011962456959032405,0.16265143695713394,0.8253861060838336,812,,,812,Metal processing and finishing plant operators,,
154,,,0.047619047619047616,31.0,0.06919590111166062,0.182199278072507,0.7486048208158324,813,,,813,Chemical and photographic products plant and machine operators,,
155,,,0.0,34.0,0.02037505247576322,0.1310293502345874,0.8485955972896493,814,,,814,"Rubber, plastic and paper products machine operators",,
156,,,0.0,51.0,0.0288584540353711,0.021644148710578733,0.9494973972540502,815,,,815,"Textile, fur and leather products machine operators",,
157,,,0.04761904761904761,55.0,0.0411741762652132,0.040848960140533935,0.9179768635942529,816,,,816,Food and related products machine operators,,
158,,,0.047619047619047616,20.0,0.06988947421664646,0.09105972922628933,0.8390507965570642,817,,,817,Wood processing and papermaking plant operators,,
159,,,0.0,24.0,0.053588958786816444,0.10774641858897747,0.838664622624206,818,,,818,Other stationary plant and machine operators,,
160,,,0.13333333333333333,36.0,0.024612325490979317,0.038903895939754095,0.9364837785692666,821,,,821,Assemblers,,
161,,,0.0,6.0,0.0,0.057539682539682536,0.9424603174603176,831,,,831,Locomotive engine drivers and related workers,,
162,,,0.0,8.0,0.0,0.0033783783783783786,0.9966216216216216,832,,,832,"Car, van and motorcycle drivers",,
163,,,0.22580645161290322,11.0,0.06351663624407361,0.021524213212192753,0.9149591505437337,833,,,833,Heavy truck and bus drivers,,
164,,,0.0,19.0,0.054474887775025065,0.027598668388142074,0.9179264438368328,834,,,834,Mobile plant operators,,
165,,,0.0,7.0,0.029580603306648526,0.019866260170663418,0.9505531365226881,835,,,835,Ships’ deck crews and related workers,,
166,,,0.0,7.0,0.050400436036483566,0.00979591836734694,0.9398036455961696,911,,,911,"Domestic, hotel and office cleaners and helpers",,
167,,,0.0,7.0,0.05730150499401213,0.02927577564601158,0.9134227193599763,912,,,912,"Vehicle, window, laundry and other hand cleaning workers",,
168,,,0.0,14.0,0.14181345729255998,0.004625346901017576,0.8535611958064224,921,,,921,"Agricultural, forestry and fishery labourers",,
169,,,0.18181818181818182,9.0,0.059468788697512105,0.0615738792334537,0.8789573320690341,931,,,931,Mining and construction labourers,,
170,,,0.0,4.0,0.03364389233954451,0.09886128364389234,0.8674948240165631,932,,,932,Manufacturing labourers,,
