EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
2654,394,44846.555,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2655,134,15501.367,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2656,22,2589.008,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2659,138,16817.502,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3111,992,107873.886,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3112,1426,156371.054,0.011013487,0.011570827,0.002085576,0.002062536,0.986900938,0.986366636,0,0,0.002933446,0.002805049,0.997066554,0.997194951,0.022026973,0.023141655,0.002933446,0.002805049,0.975039581,0.974053296
3113,1116,122038.182,0.036108016,0.032023383,9.33E-04,9.60E-04,0.962959006,0.967016556,0.031752169,0.027777778,0,0,0.968247831,0.972222222,0.055082466,0.051075269,0,0,0.944917534,0.948924731
3114,230,25484.437,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3115,1906,209958.475,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3116,262,29256.191,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3117,181,19693.58,0,0,0.131444468,0.133967515,0.868555532,0.866032485,0,0,0.106895648,0.110497238,0.893104352,0.889502762,0,0,0.863468552,0.856353591,0.136531448,0.143646409
3118,1913,207650.791,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3119,3203,352958.952,0.038437862,0.039281356,7.57E-04,8.12E-04,0.960804657,0.959906905,0.047764608,0.049016547,0,0,0.952235392,0.950983453,0.050822301,0.051826413,0.003787406,0.004058695,0.945390293,0.944114892
3121,21,2210.351,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3122,4655,501975.942,0.011111742,0.011485559,0.03503605,0.033888292,0.953852208,0.954626149,0,0,0,0,1,1,0.15509152,0.160042965,0.210798347,0.20386681,0.634110132,0.636090226
3123,1966,210785.876,0.016651878,0.016873811,0.01314399,0.013250096,0.970204132,0.969876092,0,0,0,0,1,1,0.054713315,0.055442523,0.117408346,0.118006104,0.827878339,0.826551373
3131,201,22006.135,0.5,0.5,0.142857143,0.142857143,0.357142857,0.357142857,1,1,0,0,0,0,1,1,0,0,0,0
3132,255,27865.164,0.281214874,0.280672269,0.179696282,0.179831933,0.539088845,0.539495798,0.036868364,0.039215686,0,0,0.963131636,0.960784314,0.161417353,0.160784314,0.838582647,0.839215686,0,0
3133,13,1289.397,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3134,,,,,,,,,,,,,,,,,,,,
3135,,,,,,,,,,,,,,,,,,,,
3141,349,38094.181,0.133367141,0.133237822,0,0,0.866632859,0.866762178,0.134285076,0.134670487,0,0,0.865714924,0.865329513,0.134285076,0.134670487,0,0,0.865714924,0.865329513
3142,114,12532.249,0.013433632,0.012061404,0,0,0.986566368,0.987938596,0,0,0,0,1,1,0.107469058,0.096491228,0,0,0.892530942,0.903508772
